belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
,43000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",A Monster Calls,10,108,6.8,46652768
,20000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",A Most Violent Year,12,125,6.5,12007070
,15000000,"[{'id': 53, 'name': 'Thriller'}]",A Most Wanted Man,7,121,6.5,31554855
"{'id': 8581, 'name': 'A Nightmare on Elm Street Collection', 'poster_path': '/BcgmrOz69AUBRukw5LLGeYsOgo.jpg', 'backdrop_path': '/xDScJToK3YDTZmxNqQ0hFTObeXq.jpg'}",35000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",A Nightmare on Elm Street,4,95,5.5,115664037
,14000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",A Perfect Getaway,6,98,6.2,22852638
,5000000,"[{'id': 18, 'name': 'Drama'}]",A Perfect Man,11,95,4.8,388
,8138338,"[{'id': 18, 'name': 'Drama'}]",A Quiet Passion,10,125,7.5,1864266
,8700000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",A Scanner Darkly,5,100,6.8,7659918
,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",A Serious Man,10,105,6.6,31430334
,80000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",A Sound of Thunder,5,110,4.8,5989640
,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",A Street Cat Named Bob,11,103,7.5,82703
,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",A Thousand Words,3,91,6,22044277
,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",A United Kingdom,11,111,6.5,13819139
"{'id': 30663, 'name': 'Harold & Kumar Collection', 'poster_path': '/9OBP4MQBAXnBZ1uXLZykIWRGnBb.jpg', 'backdrop_path': '/b70mFgsSn2hl3CvC0nRx0SHUEX0.jpg'}",19000000,"[{'id': 35, 'name': 'Comedy'}]",A Very Harold & Kumar Christmas,11,108,6,35387212
,28000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",A Walk Among the Tombstones,9,113,6.2,53181600
,8000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",A Walk in the Woods,9,104,5.7,35991087
,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",A Walk to Remember,1,101,7.5,41227069
,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",A.I. Artificial Intelligence,6,146,6.8,235926552
,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Abandon,10,99,4.6,10719357
,35000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",Abduction,9,106,5.6,82087155
,27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",About a Boy,4,101,6.6,129000000
,2500000,"[{'id': 18, 'name': 'Drama'}]",About Cherry,2,102,4.4,3003
,12500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",About Last Night,2,100,6,49002684
,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",About Schmidt,12,125,6.7,105834556
,12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",About Time,8,123,7.8,87100449
,69000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",Abraham Lincoln: Vampire Hunter,6,94,5.5,112265139
,23000000,"[{'id': 35, 'name': 'Comedy'}]",Accepted,8,93,6.2,38505009
,290000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",Across to Singapore,4,85,7.7,596000
,12000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",Act of Valor,2,110,6.3,81272766
,19000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Adaptation.,12,114,7.3,32801173
,13000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Admission,3,107,5.5,18000000
,16000000,"[{'id': 18, 'name': 'Drama'}]",Adore,4,100,6.1,318982
,9500000,"[{'id': 35, 'name': 'Comedy'}]",Adventureland,4,107,6.4,17164377
,318000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Afflicted,4,85,6.4,121179
,130000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",After Earth,5,100,5,243843127
,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",After the Sunset,11,97,6,61347797
,4500000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",After.Life,4,104,5.4,3606395
